Company,Phone,Fax,Web,Sector(s),Product,Nationality,Address,Additional1,Additional2
Veolia Industries Global Solutions (VIGS Ireland),+353 1 8701200,+353 1 8701201,www.veolia.com,,Environmental solutions in water management, waste management and energy services,France,70 Sir John Rogerson's Quay   Dublin 2. Dublin Ireland,
Blackrock,+353 1 2467000,,,,Fund Management,United States of America,2 Ballsbridge Park Ballsbridge  Dublin Dublin Ireland,,
Medifill Limited,+353 1 8261024,+353 1 8261035,www.medifill.ie/,,,Ireland,Block 1  Unit 2 Plato Business Park  Dublin Dublin Ireland,,
Groupon International,+353 83 1590573,,www.groupon.com,,,United States of America,Connaught House 1 Burlington Road Ballsbridge Dublin Dublin Ireland,,
Sidetrade Ireland,,,,,Debt collection and cash flow management software,France,Ferry House Mount Street Lower  Dublin Dublin Ireland,,
Overstock.Com Incorporated,+353 71 9136100,,www.overstock.com,Consumer Goods,Online closeout retailer, specializes in discount brand name merchandise,United States of America,Westgate Finisklin Business Park  Sligo Sligo Ireland,
M/a Com Technology Solutions,+353 212446318,+353 212446301,www.macom.com,,RF/Microwave Components,United States of America,4 Eastgate Road Little Island  Cork Cork Ireland,,
Ava Capital Markets Limited,+353 1 9010120,,www.avafx.com,,On Line Foreign exchange trading,British Virgin Islands,Five Lamps Place, Amiens St  Dublin Dublin Ireland,
Walkers Global,+353 1 4706600,,www.walkersglobal.com,,Law firm, hedge fund service provider,Cayman Islands,The Anchorage 17/19 Sir John Rogerson's Quay  Dublin Dublin Ireland,
Faztech Research Limited,+353 1 687 2908,,www.faztechnology.com,,Surveying & Geological Services,Netherlands,9c Beckett Way Park West Business Park  Dublin Dublin Ireland,,
Aersale Incorporated,+353 1 4753001,,www.aersale.com,,Aircraft MRO and part sales AerSale Aviation Limited,United States of America,3rd Floor  Block E Iveagh Court  Harcourt Road  Dublin Dublin Ireland,,
Mapflow / Lexisnexis Risk Solutions,,,,,,United Kingdom,80 Harcourt Street   Dublin Dublin Ireland,,
Storyful Limited,,,www.storyful.com,,,United States of America,76 Lower Baggot Street   Dublin Dublin Ireland,,
Synergy Corporate Housing,35314851014,,www.synergyhousing.com,,Corporate housing for global mobile executives,,17 the Hyde Building The Park Carrickmines Dublin Dublin Ireland,,
Pafs Ireland Limited,+353 61 475520,+353 61 475521,www.pafsi.com,,Leasing,United States of America,Unit J Block 1 Shanon Business Park Shannon Free Zone West  Shannon Clare Ireland,,
Smt Fund Services (Ireland) Limited,+353 42 9310952,+353 1 6039940,www.sumitrustgas.com,Financial Services,Alternative investment fund administration,Japan,Unit 2 Finnabair Business & Technology Park  Dundalk Louth Ireland,,
Alexion Monksland,+353 906 42 6100,,,Bio Pharmaceuticals,,United States of America,Monksland Industrial Estate Monksland  Athlone Roscommon Ireland,,
Servicesource International,+353 1 4490500,+353 1 4490501,www.servicesource.com/,,Outsourced Sales Vandor for the IT Inductry,United States of America,ServiceSource Europe Limited The Chase Carmanhall Road Dublin Dublin Ireland,,
Environmental Systems Research Institute,+353 1 8693900,+353 1 86939011,www.esriuk.com,,Geographic Information Systems ,United Kingdom,2nd Floor  Block B Ashtowngate  Navan Road  Dublin Dublin Ireland,,
Blizzard Entertainment Ireland Limited,+353 21 2380266,+353 21 2380267,,,Games - Customer Support,United States of America,The Atrium Blackpool Business Park  Cork Cork Ireland,,
QAD Dublin,+353 1 4060700,,www.precisionsoftware.com,,Package Exception Management, Parcel Shipping, Global Trade Management,Global Visibility, Desktop Shipping
BioMarin Ireland Limited,+353 21 500 7990,,www.bmrn.com,Bio Pharmaceuticals,Orphan Drugs including Naglazyme, Aldurazyme & Kuvan,United States of America,Shanbally Ringaskiddy  Cork Cork Ireland,
Firstway Digital Limited,,,www.rtenetwork.com/en/,,,United States of America,Unit 3.1 Woodford Business Park  Santr Dublin Ireland,,
Hubspot Ireland Limited,+353 15187500,,www.hubspot.com,Business Services- ICT - Software,Inbound Marketing,United States of America,One Dockland Central 4th Floor,1, Guild Street  Dublin Dublin Ireland
Moneycorp Limited,,,www.moneycorp.com,,FX payment processor ,United Kingdom,24 Windsor Place   Dublin Dublin Ireland,,
Alien Vault,353 21 206 3716,,www.alienvault.com,,,United States of America,The Capitol Building Grand Parade  Cork Cork Ireland,,
Im3 Pty Limited,,,www.im3vet.com,,Veterinary Dental Devices and Consumables,Australia,Unit 9  Block 4 City North Business Park  Stamullen Meath Ireland,,
Horizon Pharma,,,www.horizonpharma.com,,BioPharma,United States of America,Connacht House Burlington Road  Dublin Dublin Ireland,,
Mallinckrodt,,,,,,United Kingdom,College Park   Dublin Dublin Ireland,,
Nuodb Ireland,,,www.nuodb.com,,NuoDB provides a scale-out SQL database system designed for the cloud and the modern datacenter,United States of America,80-100 Merrion Street    Dublin Ireland,,
Cetra Ireland,+353 61 293165,,www.cetra.com,Business Services,Translation Services,United States of America,Hartnett Enterprise Acceleration Centre Limerick Institute Of Technology  Moylish Park  Limerick Limerick Ireland,,
Total Defense,,,,,Formerly CA's anti-virus software division,United States of America,Regus  Alexandra House The Sweepstakes  Dublin Dublin Ireland,,
Clearstream Banking,,,www.clearstream.com,,Part of Deutsche Boerse reponsible for post trade settlement and custody.,Luxembourg,Clearstream Global Securities Services 2600 Cork Airport Business Park Kinsale Road Cork Cork Ireland,,
Zurich Incorporated Company Ireland,,,,,IT hubs,Ireland,Zurich House Ballsbridge Business Park  Dublin Dublin Ireland,,
Blackstone Group LP,+353 1 4360100,,www.blackstone.com,,Alternative Assets and financial advisory services,United States of America,30 Herbert St Grand Canal Dock  Dublin Dublin Ireland,,
MiFinity (formerly Nxsystems Incorporated),+353 1 205 7931,,www.nxsystemsinc.com,,,United States of America,Drinan Enterprise Centre Unit C1 Swords Enterprise Park Feltrim Road Swords Dublin Ireland,,
Fcstone Commodity Services (Europe) Limited,+353 1 634 9140,+353 1 633 5346,www.intlfcstone.com,,Commodity Risk Management,United States of America,5th Floor Portview House Thorncastle Street Dublin Dublin Ireland,,
Quadtech Ireland Limited,+353 61336900,+353 61335411,www.quadtechworld.com,,Manufacturer of electronic process control equipment for the newspaper, packaging, and labeling industries. Its products include auxiliary press controls, material handling equipment and finishing controls for web offset printers.,United States of America
Concentrix Ireland,+353 1 844 0000,+353 1 8440001,www.convergys.com,,Technical & Customer Support ,,Unit 2  Swords Business Campus Balheary Road  Swords  Dublin Dublin Ireland,,
Salesforce.com,,,www.salesforce.com,,CRM Software SME Sales,,United States of America,Level 1 Atrium A Sandyford Business Park Dublin Dublin Ireland,
HCL Technologies,,,www.hcltech.com,,,India,Telephone House 43 - 57 Marlborough St  Dublin Dublin Ireland,,
Juli Lifting Europe,,,www.julisling.com,,,China,Ballycoolin Business Park Blanchardstown  Dublin Dublin Ireland,,
Etsy Ireland,+353 1 5424103,,www.etsy.ie,,online merchant of homemade products,United States of America,66/67 Great Strand Street   Dublin Dublin Ireland,,
Smiths Detection Ireland Limited,+353 21 4208 200,,www.smithsdetection.com,,Smiths Group is organised into four divisions - Aerospace, Detection, Medical and Specialty Engineering. ,United Kingdom,Unit 4  Westpoint Business Park Ballincollig  Cork Cork Ireland
Fincorporatedad Europe Limited,+353 1 400 3100,,www.fincad.com,ICT - Software,valuation, pricing, risk assessment, cash flow forecasting, and regulatory compliance tools
Caceis Investor Services (Ireland),+353 1 6721600,+353 1 6721650,www.caceis.com,,Funds,France,1 Custom House Plaza IFSC  Dublin Dublin Ireland,,
LinkedIn Ireland,+353 1 2423305,,,,,United States of America,Wilton Plaza Wilton Place Dublin 2   Dublin Dublin Ireland,,
Enercon Windfarm Services Ireland Limited,+353 66 7178215,+353 66 7178219,www.enercon.de,Clean Tech,Wind energy systems,Germany,Kerry Technology Park   Tralee Kerry Ireland,,
Mcs Wood Group Kenny,+353 91 481210,,www.mcskenny.com,,Oil and Gas Engineering,,Parkmore Business Park   Galway Galway Ireland,,
JRI America - Irish Branch,+353 66 7178802,,,,,Japan,Innovation Works II Kerry Technology Park  Tralee Kerry Ireland,,
Celestica Ireland Limited,,,,,Automated Manufacturing Services,Canada,Liffey Park Technology Campus Barnhall Road  Leixlip Kildare Ireland,,
Gamestop Corporation,+353 1 8135350,+353 1 8135351,,,Retail Video Games,United States of America,Estuary House Swords Business Park  Swords Dublin Ireland,,
DSV Air and Sea Ltd,+353 1 6043311,,www.ie.dsv.com,,,Denmark,Unit 630  Northwest Business Park Blanchardstown  Dublin Dublin Ireland,,
Presonus Europe Limited,+353 49 4368840,,www.presonus.com,ICT,Audio Equipment,United States of America,Unit 1 & 2 Cavan Enterprise Centre, Dublin Road, Killygarry   Cavan Ireland
Jazz Pharmaceuticals Ireland Limited,,,www.jazzpharma.com,Bio Pharmaceuticals,Identifying, developing and commercializing innovative products to meet unmet medical needs in neurology and psychiatry,United States of America,Monksland   Athlone Roscommon Ireland,
Adroll Ireland,+353 1 6532009,,www.adroll.com,,technology platform to allow businesses of all sizes to run positive ROI online display advertising,United States of America,Level 6 1 Burlington Plaza Burlington Road Dublin Dublin Ireland,,
Plr Worldwide Sales,,,www.playrix.com,,,Russia,4th Floor Red Oak North, South County Business Park, Leopardstown
Aercap Aviation Solutions,+353 1 8192010,,www.aercap.com,,Aircraft Leasing,Netherlands,AerCap House 65 St. Stephens Green   Dublin Ireland,,
Tunstall Emergency Response Limited,+353 53 937 6400,+353 53 937 6943,www.tunstallemergencyresponse.ie,,Telehealthcare,United Kingdom,Ryland Road Bunclody  Enniscorthy Wexford Ireland,,
Shanahan Engineering,+353 1 2809888,,www.shanahanengineering.com,,Oil and Gas Consutruction and Services. Shanahan is Turbine repair for power companies.,United Kingdom,West Pier Business Campus Block 1- 3rd Floor  Old Dunleary Road  Dun Loaghaire Dublin Ireland,,
Apollo Aviation Management Limited,+353 1 4976621,,www.apollo.aero,,,France,Connaught House 1 Burlington Road  Dublin 4 Dublin Ireland,,
Global Reviews,+353 21 245 5081,,www.globalreviews.com,,,Australia,Level 3, South Mall  Cork Cork Ireland,
Alkermes Pharma Ireland Limited,+353 90 6495000,+353 90 6495801,www.alkermes.com,Bio Pharmaceuticals,Finished Pharmaceuticals,United States of America,Monksland   Athlone Roscommon Ireland,,
Conversant T/a Longitude Licencing In Ireland,+353 1 4116100,,www.conversantip.com,,IP Management,Canada,Longitude Licensing Limited 1st Floor, Blackthorn Exchange Bracken Road, Sandyford Dublin Dublin Dublin Ireland
Acumen Aviation LLP,+353 1 6499051,,www.acumenaviation.in,,,India,Suite 1236 77 Sir John Rogersons Quay  Dublin Dublin Ireland,,
Vertiv (Ireland),+353 61 471877,+353 61 471871,www.avocent.com,Engineering,Data centre infrastructure management hardware and software,United States of America,Shannon Free Zone   Shannon Clare Ireland,,
Avaya International Sales Limited,091 757671,,,,Telecommunications Systems and Solutions,United States of America,Mervue Business Park   Galway Galway Ireland,,
Paypal Europe Services (Dundalk),+353 1 2432127,,www.paypal.com,Internet,,United States of America,Xerox Technology Park Dublin Road  Dundalk Louth Ireland,,
Xilinx Ireland,+353 21 4355701,+353 21 4353342,www.xilinx.com,ICT- ICT - Hardware,Integrated Circuit Designs,United States of America,Eastgate Business Park Little Island  Cork Cork Ireland,,
BNY Mellon,+353 539149500,+353 539149700,www.bnymellon.com,,Funds Services and back office administration,United States of America,IDA Business Park   Drinagh Wexford Ireland,,
Intel Research and Development Ireland Limited,+353 21 4547500,+353 21 4547501,www.intel.com,ICT- ICT - Hardware,Semiconductors and other computer equipment,United States of America,First Floor  Building 2100 Cork Airport Business Park   Cork Ireland,,
Abbott Ireland Diabetes Care,+353 74 9740200,,,,Blood glucose monitoring systems,United States of America,Lurganboy   Donegal Town Donegal Ireland,,
Pmi Mortgage Insurance Company Limited,+353 1 6445021,,www.pmieurope.com,,co. in Run off - no new business,Ireland,5 Schoolhouse Lane   Dublin Dublin Ireland,,
U Blox Cork Ltd.,+353 21 20 67 802,,https://www.u-blox.com,,,Switzerland,6 Lapps Quay   Cork Cork Ireland,,
Acs Aviation Solutions (Ireland),+353 1 551 0250,,http://acsgroup.global/,,,Australia,Unit 11 Estuary House  Malahide Dublin Ireland,,
Its Infinity Aviation,+353 1905 290,,www.itsparts.com,,Aviation parts trading and teardown (parting) ,United States of America,Unit 288  Block G Blanchardstown Corporate Park 2 Ballycoolin Dublin 15 Dublin Ireland,,
Surveymonkey.Com,,,,,Web Surveys,United States of America,No. 2 Shelbourne Buildings (2nd Floor) Ballsbridge  Dublin Dublin Ireland,,
Pure Storage Ireland,01 485 4307,,www.purestorage.com,,,United States of America,1st Floor, Adelphi Plaza, George's Street Upper
Uber Ireland,,,,,Technology platform that connects passengers with drivers of vehicles for hire and ridesharing services.,,43 Thomas St   Limerick Limerick Ireland,,
Neopost Ireland,,,www.neopost.ie,,,France,Unit 7 Riverwalk Citywest Business Campus   Dublin Dublin Ireland,,
Aero-Zone Ltd,+353 61 704800,,www.aero-zone.com,,EMEA HQ - Sale of aircraft rotable parts mainly,United States of America,Unit 2 Distribution Centre Shannon Free Zone  Shannon Clare Ireland,,
Abbvie,+353 21 4881400,,www.abbvie.com,Bio Pharmaceuticals,Formulation, tablet production,United States of America,IDA Industrial Estate   Carrigtohill Cork Ireland,
Lgt Bank (Ireland) Limited,+353 1 4337400,+353 1 433 7413,www.lgt.com,Financial Services,Fund administration,Liechtenstein,Segrave House 19/20 Earlsfort Terrace  Dublin Dublin Ireland,,
Monster Cable International Limited,+353 65 6869350,+353 65 6891514,www.monstercable.com,ICT- ICT - Hardware,High Performance Consumer Cables,United States of America,Mill Road House Mill Road  Ennis Clare Ireland,,
APS Materials Incorporated,+353 51357834,+353 51357835,www.apsmaterials.com,,Manufacture of thermal sprayed metallic and ceramic coatings,United States of America,Unit 26A Waterford Industrial Estate Cork Road   Waterford Ireland,,
Activision Blizzard Ireland,+353 1 8565100,,www.activision.com,,Leading international publisher of interactive entertainment software products.,United States of America,2nd Floor G Block East Point Business ParkEast Point Dublin Dublin Ireland,,
IBM/Vallent,+353 91 501820,,www.vallent.com,,,United States of America,IDA Business Park Dangan  Galway Galway Ireland,,
Kantar Media,+353 1 486 6100,,www.mediamarket.ie,,Market research ,United Kingdom,1st Floor Marina House Block VEastpoint Business Park Dublin Dublin Ireland,,
Lumension Security Ireland Limited,,,www.lumension.com,,Patch and vulnerability management software ,United States of America,2nd Floor City Point Prospect HillEyre Square Galway Galway Ireland,,
Workday,+353 1 2419900,,www.workday.com,ICT - Software,,United States of America,Kings Building 152 - 155 Church Street  Dublin Dublin Ireland,,
International Data Group,+353 155 43600,,www.idg.com,,Market research services, trade show & events, magazine publications,United States of America,Millennium House Great Strand Street  Dublin Dublin Ireland
Pivot Technology Solutions,+353 91396804,,https://pivotts.com/,,Shared Services Centre,Canada,IDA Business Park Dangan  Galway Galway Ireland,,
Dechert LLC,+353 1 4368500,+353 1 4368501,www.dechert.com,,Specialised Law Firm - large financial services and Hedge Fund Practice.  ranked No 1 for funds,United States of America,3 George's Dock IFSC  Dublin Dublin Ireland,,
RGA International Reinsurance Company dac,+353 1 2902900,,www.rgare.com,,Reinsurance,United States of America,3rd Floor  Block C Central Park  Leopardstown  Dublin Dublin Ireland,,
MYMIC Global Limited,+353 66 9460100,,www.mymic.net,,Logistics simulation software and training solutions for the EU maritime and transport market,United States of America,Valentia Ring Road Valentia Island  Tralee Kerry Ireland,,
Cloudera International Limited,,,www.hortonworks.com,,Apache Hadoop Software,United States of America,Ground Floor, One Albert Quay,    Cork Ireland
MacStadium,,,,,Hosting Environments dedicated exlusively to Apple Hardware,United States of America,City West   Dublin Dublin Ireland,,
Scotiabank (Ireland) Limited,+353 1 7902000,+353 1 6700684,www.scotiacapital.com,,Investment Banking,Canada,IFSC House Custom House Quay  Dublin Dublin Ireland,,
Novartis Ringaskiddy Limited,+353 214862000,+353 214862358,www.ie.novartis.com,Bio Pharmaceuticals,Bulk Pharmaceuticals,Switzerland,Ringaskiddy   Ringaskiddy Cork Ireland,,
Microchip Ireland - Ennis,+353 65 6840044,+353 65 6822298,www.microsemi.com,ICT- ICT - Hardware,Small Signal Diodes ,United States of America,Industrial Estate Gort Road  Ennis Clare Ireland,,
Depfa Bank PLC,+353 1 7922222,+353 1 7922211,www.depfa.com,Financial Services,Public sector lending, infrastructure financing, investment banking,Germany,1 Commons Street   Dublin Dublin Ireland
Marinochem Limited,+353 214855100,+353 214855156,www.marinochem.ie,Engineering,Urea Formaldehde Resins,,Marino Point   Cobh Cork Ireland,,
Nelipak Holdings Ireland Ltd,+353 91757152,+353 91757151,www.nelipak.com,Medical Technology,Medical Packaging,United States of America,Unit 6D Mervue Business Park  Galway Galway Ireland,,
Mylan Damastown,+353 1 8852700,+353 1 8852792,www.rottapharm.com,Bio Pharmaceuticals,Bulk and Finished Pharmaceuticals ,United States of America,Damastown Industrial Park Mulhuddart  Dublin Dublin Ireland,,
BNP Paribas Fund Services Dublin Limited,+353 1 6126400,+353 1 6702149,www.securities.bnpparibas.com,Financial Services,Provides custody, fiduciary and related services to collective investment schemes and other investment portfolios,France,Level 1-2 Trinity Point 10-11 Leinster Street South Dublin Dublin Ireland,
Killick Aerospace,+353 1 812 0868,,www.killickaerospace.com,,Parts distribution, exchange, aircraft teardown and fleet analysis,United States of America,Unit B2 Airport Business Park Dublin Airport Cloghran Dublin Dublin Ireland
Regeneron Pharmaceuticals Incorporated Dublin,+353 1 411 2200,,www.regn.com,Bio Pharmaceuticals,ARCALYST™ (rilonacept  also known as IL-1Trap) Injection for Subcutaneous Use for a rare inflammatory condition.,United States of America,Europa House Harcourt Street  Dublin 2 Dublin Ireland,,
Alexion Pharma International Trading,+353 1 254 6400,,www.alexionpharm.com,Bio Pharmaceuticals,Biopharmaceuticals - treating hematology, neurology, transplant rejection, cancer, auto-immune disorders - monoclonal antibodies.
New Relic International Ltd.,+353 1 653 2275,,,,SaaS Application Performance Managemen,United States of America,31-36 Golden Lane    Dublin Ireland,,
Eirgen Pharma Limited,+353 51 591944,,www.eirgen.com,,,,Westside Business Park Old Kilmeaden Road  Waterford Waterford Ireland,,
Oriflame Global Technical Centre,+353 1 2723300,+353 1 2723350,www.oriflame.com,Consumer Goods,,Sweden,Bray Business Park Kilruddery  Bray Wicklow Ireland,,
Innocoll Pharmaceuticals,+353 906486805,,,Medical Technology,Drug Delivery,United States of America,Unit 9 Block D Monksland Business Park Monksland Athlone Roscommon Ireland,,
JP Morgan Merchant Services,,,www.chasepaymentech.com/,Financial Services,Credit Cards-Merchant Processor,United States of America,200 Capital Dock 79 Sir John Rogerson’s Quay  Dublin Dublin Ireland,,
Harland Financial Solutions,+353 1 664 1430,,www.dhltd.com,ICT,software & services to financial institutions - products incld deposit & loan origination/ platform/ teller/ call-center/ mortgage/ business intelligence/ core processing/ customer relationship management systems/ document solutions ,Canada,Alexandra House The Sweepstakes Ballsbridge Dublin Dublin Ireland,,
Ebay Europe Services (Dublin),+353 1 2432176,,www.ebay.com,,Online Marketplace,United States of America,The Atrium Old Navan Road  Dublin Dublin Ireland,,
Comtrade Software Solutions Limited,+353 16614030,,www.comtrade.com,,IT solutions & software engineering services,Slovenia,23 Priory Hall   Stillorgan Dublin Ireland,,
Intellectual Ventures,(01) 472 0100,,www.intellectualventures.com,,Patent/IP licensing - European HQIreland,United States of America,1 Floor  Block E Iveagh Court  Harcourt Road  Dublin Dublin Ireland,,
Global Indemnity Services Limited,+353 49 4891400,,www.globalindemnity.ie,Financial Services,Software Development supporting US operation,United States of America,5 Town Hall Place Town Hall Street  Cavan Cavan Ireland,,
Apleona HSG Facility Management,+353 1 670 2242,,www.apleona.com,Clean Tech,Technical Support,Germany,Lansdown House Churchtown Dublin Dublin Dublin Ireland,,
Glass Lewis Europe Limited,,,www.glasslewis.com,Business Services,Institutional Investor Services - European Service Centre,United States of America,24 Henry St   Limerick Limerick Ireland,,
ThermoSafe Brands Europe Ltd.,+353 22 55112,,,,Packaging products that are temperature sensitive,United States of America,Quarterstown Industrial Estate   Mallow Cork Ireland,,
Braahmam Net Solutions Pvt.Limited,,,,,e-Learning, translation, localization, testing and production,India
Omnipay Dublin,,,,,,United States of America,Unit 9 Richview Office Park Clonskeagh  Dublin Dublin Ireland,,
Primeur Dublin,+353 1 6215670,,www.primeur.com/en/corporate-profile,,Software Company focussed on middleware and mainfrance technology,Italy,Primeur Ltd The Grainstore Roe LaneThomas StreetThe Digital Hub Dublin Dublin Ireland,,
Apex Fund Services (Ireland) Limited,+353 21 4633366,+353 21 4633377,www.apexfundservices.com,Financial Services,Hedge fund administration,Bermuda,Office 5, Building A1, Fota Business Park
Abbott Mature Products Management Limited,+353 1 846 8700,+353 1 846 8701,,,Abbott branded drugs for European markets,United States of America,Woodford Business Park Santry  Dublin Dublin Ireland,,
Abbott Nutrition Limited,+353-71-9195950,,www.abbott.com,Medical Technology,,United States of America,Carbury Point Finisklin Business Park  Sligo Sligo Ireland,,
The Npd Group Market Research Limited,+353 90 64 61301,,www.npd.com,,Market Research,United States of America,IDA Business and Technology Park Dublin Road  Athlone Westmeath Ireland,,
Virtual Computing Environment Company,+353 21 4281500,,www.vce.com,,,United States of America,One Park Place, City Gate Park, Mahon
Twitter International,+353 1 4773000,,www.twitter.com,,social networking,United States of America,One Cumberland Place Fenian Street  D02 AX07 Dublin Dublin Ireland,,
Greenlight Capital Re Limited,+353 1 7645640,+1 345 9434576,www.greenlightre.ky,,Through operating subsidiary Greenlight Reinsurance, the company sells property/casualty reinsurance, specializing in writing customized contracts in underserved markets, including casualty clash, homeowners insurance in some states
AON Centre For Innovation and Analytics,+353 1 2666000,+353 1 2666606,www.aon.ie,,,United Kingdom,3rd Floor  Metropolitan Building James Joyce Street  Dublin Dublin Ireland,,
Conduit Global,+353 1 8190000,,www.infonxx.com,,Contact Centre - BPO,United States of America,Conduit House East Point Business Park Fairview Dublin Dublin Ireland,,
Zynga Incorporated,,,,,EU HQ,United States of America,Oval Building  160 Shelbourne Road Block 1 - 3rd floor  Dublin Dublin Ireland,,
Kemp Technologies,+353 61 260101,,www.kemptechnologies.com/,ICT- ICT - Hardware,,United States of America,MaryRosse Centre National Technology Park  Limerick Limerick Ireland,,
Integra Lifesciences Shared Services,+353 1 829 3738,+353 1 8665489,,,shared services activity,United States of America,Cape House Westend Office Park  Dublin Dublin Ireland,,
Lafferty Ireland Administration Limited,+353 98 39128,,www.lafferty.com,,Provides Training and Qualifications for Retail Banking and Card Payments ,United Kingdom,6 Cedar Crescent Cedar Park  Westport Mayo Ireland,,
Eea Fund Management,+353 1 6788311,,www.eeafm.com,Financial Services,Brokerage, Fund Mgt,United Kingdom,39 Fitzwilliam Place   Dublin Dublin Ireland,
CDB Aviation,,,,Financial Services,Aircraft Leasing,China,1 George's Quay   Dublin 2 Dublin Ireland,,
Litec Moulding Limited,+353 71 9150888,,,,Aerosol Valves - injection moulding,Germany,Unit 1&2 Orchard Park Finisklin Business Park  Sligo Sligo Ireland,,
Bristol Myers Squibb Distribution,+353 61 717500,+353 61 471396,www.bmsireland.ie,,Product Distribution facility,United States of America,Unit 12 Distribution Centre Shannon Free Zone West  Shannon Clare Ireland,,
Hudson's Bay Company Dublin,+353 1 554 0300,,,,Luxury Goods - Online Flash Sales,Canada,st Floor 2 Shelbourne Building Crampton Avenue Dublin Dublin Ireland,,
Resmed Incorporated (Ireland),+353 1 209 6420,,www.resmed.com,,Products for the screening, treatment and long-term management of sleep-disordered breathing (SDB) and other respiratory disorders,United States of America,Nexus UCD  Blocks 9 & 10 Belfield Office Park  Dublin Dublin Ireland,
Fmc Tech Limited,+353 61 475765,,www.fmc-tech.com,,Development of technology to monitor electricity distribution and transmission networks.,United States of America,Unit 3B2 Western Business Park   Shannon Clare Ireland,,
Micro Focus Ireland Limited (Galway),+353 91 782632,+353 91 782601,www.netiq.com,ICT- ICT - Software,,United Kingdom,Building 2 Parkmore East Business Park  Galway Galway Ireland,,
Atlas Box & Crating Co. Ireland Ltd.,+353 214669009,+353 214669010,www.ugpg2.eu,,Manufacture of packages, wood foam pallets & corrugate,United States of America,IDA Business & Technology Park   Carrigtwohill Cork Ireland,
Agora Publishing Services Ireland, An Agora Company,,,www.theagora.com,,,United States of America,Woodlock House Portlaw Carrick Road Waterford Waterford Ireland,
Equifax Ireland,,,,,,United States of America,Bloodstone Building 4th Floor  Dublin 2 Dublin Ireland,,
CarGurus Ireland Limited,,,https://www.cargurus.com,,,United States of America,1st Floor, Styne House Upper Hatch Street  Dublin 2 Dublin Ireland,
APEX,+353 21 4217315,,www.ipes.com,,,United Kingdom,First Floor Heron House Blackpool Retail park  Cork Ireland,,
Banc Of America Leasing Ireland Co. Limited,,,www.bankofamerica.com,Financial Services,Asset based finance, investment solutions, asset management, leasing, merchant/dealer services
Morgan Stanley Fund Services (Ireland) Limited,+353 1 7998700,,www.morganstanley.com,Financial Services,Financial Services,United States of America,The Observatory 7-11 Sir John Rogerson's Quay  Dublin Dublin Ireland,,
Omnipay Limited,,,,,,United States of America,Unit 9 Richview Office Park Clonskeagh Dublin Dublin Ireland,,
Munich Re Automation Solutions,+353 1 2932888,+353 1 2932282,www.automation.munichre.com,Financial Services,Underwriting Software Development,Germany,Mountain View Central Park  Leopardstown  Dublin Dublin Ireland,,
WWRD Ireland Limited,+353 51317000,+353 51392606,www.wwrd.com/,,Glassware, tableware,Finland,The House of Waterford Crystal The Mall   Waterford Ireland,
Warner Chilcott (Ireland) Limited,+353 42 9395900,+353 42 9395901,www.actavis.com,Bio Pharmaceuticals,European ssc, european supply chain & analytical services unit,,Building B Xerox Technology Park  Dundalk Louth Ireland,
Prudential International Assurance PLC,+353 1 6762599,+353 1 6762599,www.pru.co.uk,,,United Kingdom,Montague House Adelaide Road  Dublin 2 Dublin Ireland,,
Infocare Health Systems,+353 1 488 5819,,www.infocarehealth.com,,Health informatics,South Africa,The Digital Exchange Digital Hub  Dublin Dublin Ireland,,
Endo International,+353 1 2682000,,,,Endo Pharma specialize in drugs for Pain Management, their best selling drugs include Percocet and Percodan,United States of America,First Floor Minerva House Simmonscourt Road Ballsbridge Dublin Dublin Ireland,
Liferay Incorporated,+353 1 254 9560,,www.liferay.com,,enterprise portal, open source, social, software, collaboration
Data Management Systems (Pvt) Limited,+353 21 2307000,,www,dnssw,cin,,,Sri Lanka,National Software Centre Mahon   Cork Ireland
Esentire Ireland,,,www.esentire.com,,,Canada,Pearse House   Ballincollig Cork Ireland,,
Microchip Ireland - Cork,+353 21 7304605,+353 21 2307070,www.mingoa.com,,,United States of America,National Software Centre Mahon   Cork Ireland,,
Pond5 Media Ireland Limited,,,www.pond5.com,,Web based stock marketplace for video,media & music community,United States of America,WeWork North Dock  Dublin Dublin Ireland,
Sankaty Advisors,,,,,,,5 Fitzwilliam Square East   Dublin Dublin Ireland,,
Mathworks Ltd,,,www.mathworks.com,,Mathlab,United States of America,Citypoint 13-27 Prospect Hill  Galway Galway Ireland,,
Van Tibolli Beauty Limited,,,www.tibolli.com/contact-us,,,United States of America,Broombridge Business Centre, 288 Bannow Road,  Cabra West
Bloomberg Polarlake,+353 1 449 1010,,www.bloombergpolarlake.com,,Enterprise Data Management,United States of America,Harccourt Building Harcourt Street  Dublin Dublin Ireland,,
Synowledge Ireland Limited,,,www.synowledge.com,,,India,2 Adelaide Court   Dublin Dublin Ireland,,
Aztec Exchange Limited T/a aztec Money,+353 1 646 233 2782,,www.aztecmoney.com,,,,4th Floor Ormond Building 31-36 Ormond Quay Upper  Dublin 7 Dublin Ireland,,
Neomed,,,www.neomedinc.com,,,United States of America,121 Baggot St   Dublin Dublin Ireland,,
